STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
1232,1232,Công ty TNHH Sản xuất - Thương mại Minh Thái Thắng,"Khu phố Ông Đông, phường Tân Hiệp, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất linh kiện điện tử,1.155,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1233,1233,Công ty TNHH Công nghiệp Phúc C ần,"Lô N3-N7, đường D3-D4, khu công nghiệp Nam Tân Uyên, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất kinh doanh các loại sản phẩm kim loại,4.337,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1234,1234,Công ty TNHH Công nghiệp Tung Shin,"Số 08, đường 18, khu công nghiệp Sóng Thần II, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất kim loại màu và kim loại quý,3.434,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1235,1235,Công ty TNHH Sing Industrial Gas Vietnam,"Lô B3, khu công nghiệp Mỹ Phước 3, phường Thới Hòa, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất khí đốt, phân phối nhiên liệu khí b ằ ng đường ống",2.568,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1236,1236,Công ty cổ phần Tekcom,"Đường N2,N3, khu công nghiệp Nam Tân Uyên mở rộng, xã Hội Nghĩa, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất keo dán trong công nghiệp chế biến gỗ,1.195,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1237,1237,Công ty TNHH Công nghiệp Golden Tree Plastics VN,"Lô E8, E19, khu công nghiệp Việt Hương 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất hàng may sẵn (trừ trang phục),1.263,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1238,1238,Công ty TNHH Shyang Hung Cheng,"Cụm sản xuất An Thạnh, phường An Thạnh, thành phố Thuận An, tỉnh Bình Dương","Sản xuất giày, dép",4.525,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1239,1239,Công ty TNHH Giày thông dụng,"Số 1, đường số 5, khu sản xuất An Phú, phường An Phú, thành phố Thuận An, tỉnh Bình Dương","Sản xuất giày, dép",2.934,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1240,1240,Công ty TNHH Giấy Kraft Vina,"Lô D-6A, khu công nghiệp Mỹ Phước 3, thị Xã Bến Cát, tỉnh Bình Dương",Sản xuất giấy và sản phẩm từ giấy,16.695,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1241,1241,Công ty TNHH Giấy Đồng Tiến Bình Dương,"Số 378/18, khu phố 3, phường Tân Định, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất giấy và các sản phẩm từ giấy,3.861,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1242,1242,Công ty TNHH Lập Văn,"Số 02, đường số 16, khu công nghiệp VSIP II-A, phường Vĩnh Tân, thành phố Tân Uyên, tỉnh Bình Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",1.003,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1243,1243,Công ty cổ phần Tetra Pak Bình Dương,"Số 12, đường số 30, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",4.090,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1244,1244,Công ty TNHH Giấy Tân Vĩnh Thành,"Số 96, tổ 3, khu phố Khánh Long, phường Tân Phước Khánh, Tân Uyên, tỉnh Bình Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",1.812,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1245,1245,Công ty TNHH Minh Phú,"Số 25, đại lộ Thống Nhất, khu công nghiệp Sóng Thần 2, thành phố Dĩ An, tỉnh Bình Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",1.638,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1246,1246,Công ty TNHH MTV Giấy Hùng Cường,"Số 9 Nguyễn Chí Thanh, ấp An Thành, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",1.471,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1247,1247,Công ty TNHH MTV Sản xuất bao bì giấy Bình Minh,"Lô A9, đường D2, khu công nghiệp Đất Cuốc - Khu B, huyện Bắc Tân Uyên, tỉnh Bình Dương","Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bì",4.697,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1248,1248,Công ty TNHH Box Pak (Việt Nam),"Số 22, đại lộ Hữu Nghị, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất giấy nhãn và bìa nhãn,4.646,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1249,1249,Công ty TNHH Bao bì Dynaplast Việt Nam,"Số 20, đường số 8, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất giấy nhãn và bìa nhãn,1.331,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1250,1250,Công ty TNHH Công nghiệp bao bì Ngai Mee,"Số 9A, đường 6, khu công nghiệp Sóng Thần 1, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất giấy nhãn và bìa nhãn,1.183,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1251,1251,Công ty TNHH Biển Nam Vina,"Số 15, đường Khánh Bình 68, Tổ 1, khu phố Bình Khánh, phường Khánh Bình, thị xã Tân Uyên, tỉnh Bình Dương",Sản xuất giày dép,1.015,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1252,1252,Công ty TNHH Giày King Maker (Việt Nam),"Số 12, đường số 3, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất giày dép,1.527,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1253,1253,Công ty TNHH Sung Shin A Việt Nam,"Lô G4A, khu công nghiệp Mỹ Phước 2, thị xã B ế n Cát, tỉnh Bình Dương",Sản xuất giày dép,4.701,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1254,1254,Công ty TNHH Chí Hùng,"Khu phố Mỹ Hiệp, phường Thái Hòa, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất giày dép,3.512,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1255,1255,Công ty cổ phần Đầu tư Thái Bình,"Số 5A, xa lộ Xuyên Á, phường An Bình, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất giày dép,3.076,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1256,1256,Công ty TNHH Hài Mỹ - Nhà máy Sài Gòn,"Khu sản xuất Bình Chuẩn, thành phố Thuận An, Bình Dương",Sản xuất giày dép,3.078,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1257,1257,Chi nhánh Công ty cổ phần Công nghiệp Đông Hưng,"Số 8, đại lộ Độc Lập, khu công nghiệp Sóng Thần 1, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất giày dép,1.511,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1258,1258,Công ty TNHH Đa hợp Evatech Việt Nam,"409, khu phố Bà Tri, phường Tân Hiệp, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất giày dép,1.562,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1259,1259,Công ty TNHH YC - TEC Việt Nam,"Số 7, đường 12, khu công nghiệp Sóng Thần 2, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất giày dép,1.984,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1260,1260,Công ty cổ phần Tập đoàn Gia Định,"Khu phố 1B, phường An Phú, thành phố Thuận An, tỉnh Bình Dương",Sản xuất giày dép,1.739,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1261,1261,Công ty TNHH Framas Việt Nam,"Số 9, đường 12, khu công nghiệp Sóng Thần 2, thành phố Dĩ An, Bình Dương",Sản xuất giày dép,2.006,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1262,1262,Công ty TNHH Diamond Việt Nam,"Đường N6, khu công nghiệp Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất giày dép,1.742,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1263,1263,Công ty TNHH Đại Hoa,"Thửa đất số 240, tờ bản đồ số 39, khu phố 7, phường Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất giày dép,1.370,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1264,1264,Công ty TNHH Hiệp Dịch Việt Nam,"Khu phố Khánh Vân, phường Khánh Bình, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất giày dép,1.044,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1265,1265,Công ty cổ phần Sao Việt,"Đường số 4, khu công nghiệp Đồng An, phường Bình Hòa, thành phố Thuận An, tỉnh Bình Dương",Sản xuất giày dép,1.507,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1266,1266,Công ty cổ phần Giày Đại Lộc,"Đường D10, khu công nghiệp Rạch Bắp, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất giày dép,1.615,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1267,1267,Công ty TNHH Yu Qing Enterprise,"Đường D9, khu công nghiệp Rạch Bắp, xã An Tây, Thị xã Bến Cát, tỉnh Bình Dương",Sản xuất giày dép,1.098,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1268,1268,Công ty TNHH Green Chem Việt Nam,"Lô CN21, đường N3, khu công nghiệp Sóng Thần 3, phường Phú Tân, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất giày dép,1.107,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1269,1269,Công ty TNHH Cheng Loong Bình Dương Paper,"Khu số 4, khu công nghiệp quốc tế Protrade, xã An Tây, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất giấy,77.096,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1270,1270,Công ty TNHH Chen Tai (Việt Nam ),"Lô H-1A-CN đường N8, khu công nghiệp Mỹ Phước, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất gia công dệt các loại dây công nghiệp và sợi màu,1.281,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1271,1271,Công ty cổ phần Thép Bình Dương,"Thửa đất số 192, Tờ BĐ 30, Long Nguyên, Long Hòa, Dầu Tiếng, tỉnh Bình Dương,","Sản xuất gang, thép",3.975,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1272,1272,Công ty TNHH MTV Ống thép Hòa Phát Bình Dương,"Lô M, đường 26, khu công nghiệp Sóng Thần 2, thành phố Dĩ An, tỉnh Bình Dương","Sản xuất gang, thép",3.560,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1273,1273,Công ty TNHH Vision International,"Số 19, đại lộ Hữu Nghị, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương","Sản xuất dụng cụ thể dục, thể thao",9.284,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1274,1274,Công ty TNHH Aldila Composite Products,"Số 30, đường số 8, khu công nghiệp SIP I, phường An Phú, thành phố Thuận An, tỉnh Bình Dương","Sản xuất dụng cụ thể dục, thể thao",1.068,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1275,1275,Công ty TNHH Thiết bị kiểm soát dòng chảy Kingdom Việt Nam,"Lô C-6A-CN, C-5A-CN, khu công nghiệp Mỹ Phước 2, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất đồng hồ điện,1.999,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1276,1276,Công ty TNHH TPR Việt Nam,"Số 26, đường số 2, khu công nghiệp VSIP II, thành phố Thủ Dầu Một, tỉnh Bình Dương","Sản xuất động cơ, tua bin",4.866,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1277,1277,Công ty TNHH Nước giải khát Kirin Việt Nam,"Lô D-3A-CN, khu công nghiệp Mỹ Phước 2, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương","Sản xuất đồ uống không cồn, nước khoáng",1.133,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1278,1278,Công ty TNHH URC Việt Nam,"Số 26, đường số 6, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất đồ uống không cồn,7.389,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1279,1279,Công ty TNHH Lon nước giải khát TBC Ball Việt Nam,"Số 2, đường số 18, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất đồ uống không cồn,5.627,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1280,1280,Chi nhánh Công ty cổ phần Nhựa Bình Minh,"Số 7, đ ư ờng số 2, khu công nghiệp Sóng Thần 1, thành phố Dĩ An, tỉnh Bình Dương",Sản xuất đồ nhựa,3.059,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1281,1281,Công ty cổ phần nhựa Thiếu niên Tiền Phong phía Nam,"Lô C2, khu công nghiệp Đồng An II, phường Hòa Phú, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất đồ nhựa,1.562,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1282,1282,Công ty TNHH Sung Gwang Vina,"Lô A 1 7, đường số 1, cụm công nghiệp Uyên Hưng, phường Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương","Sản xuất đồ dùng bằng kim loại cho nhà bếp, nhà vệ sinh và nhà ăn",1.051,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1283,1283,Công ty TNHH Cự Hùng II,"Khu phố Mỹ Hiệp, phường Thái Hòa, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất đế giày,1.090,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1284,1284,Công ty TNHH Samil Tongsang ViNa,"Hòa Lân 2, phường Thuận Giao, thành phố Thuận An, tỉnh Bình Dương",Sản xuất da và các sản phẩm có liên quan,1.053,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1285,1285,Công ty TNHH Tokyo Rope Việt Nam,"Số 30, đường số 3, khu công nghiệp, VSIP II, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất cáp và dây cáp,1.551,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1286,1286,Công ty TNHH Ever Tech Plastic Việt Nam,"Khu phố Mỹ Hiệp, phường Thái Hòa, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất các sản phẩm từ nhựa,2.510,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1287,1287,Công ty TNHH Yuwa Việt Nam,"Số 15, đường Số 6, khu công nghiệp VSIP II, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất các sản phẩm từ nhựa,3.610,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1288,1288,Công ty cổ phần Găng Việt,"Thửa đất số 03, tờ bản đồ số 37, ấp cầu sắt, xã Lai Hưng, huyện Bàu Bàng, tỉnh Bình Dương",Sản xuất các sản phẩm từ cao su và nhựa,1.297,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1289,1289,Công ty TNHH Dongil Rubber Belt Việt Nam,"Lô F-1-CN, F-7-CN, khu công nghiệp Mỹ Phước 2, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất các sản phẩm từ cao su và nhựa,3.872,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1290,1290,Công ty TNHH Furniture Resources Việt Nam,"Số 47/4, khu phố Bình Phước B, phường Bình Chuẩn, thành phố Thuận An, tỉnh Bình Dương",Sản xuất các sản phẩm nội thất mỹ nghệ và phụ kiện của sản phẩm nội thất mỹ nghệ,1.012,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1291,1291,Công ty TNHH Asia Packaging Industries Việt Nam,"Lô E6 CN, E-12-CN, khu công nghiệp Mỹ Phước 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất các sản phẩm khác từ kim loại,5.217,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1292,1292,Công ty TNHH Công nghiệp Thread Việt Nam,"Lô D 1 , 6, khu công nghiệp Đại Đăng, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất các sản phẩm khác từ kim loại,1.370,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1293,1293,Công ty TNHH NTPM Việt Nam,"Số 22, đường số 23, khu công nghiệp VSIP II-A, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất các sản phẩm khác từ giấy và bìa,3.471,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1294,1294,Công ty TNHH Kimberly Clark Việt Nam,"Số 32, đại lộ Hữu Nghị, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất các sản phẩm khác từ giấy và bìa,4.088,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1295,1295,Công ty TNHH Giấy Nam Tiến,"Số 109A/3, t ổ 3, khu phố 2, phường An Phú, thành phố Thuận An, tỉnh Bình Dương",Sản xuất các sản phẩm giấy,1.805,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1296,1296,Công ty TNHH Khóa kéo Hoàn Mỹ,"Đường ĐT 747, khu phố 7, phường Uyên Hưng, thành phố Tân Uyên, tỉnh Bình Dương",Sản xuất các sản phẩm gia dụng,1.160,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1297,1297,Công ty TNHH Wun Taix,"Số 33, đường Dân Chủ, khu công nghiệp VSIP II, phường Hoà Phú, thành phố Thủ Dầu Một, tỉnh Bình Dương",Sản xuất các loại thiết bị xử lý ô nhiễm môi trường,1.022,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1298,1298,Công ty TNHH Panko Vina,"Đường N6, khu công nghiệp Mỹ Phước 1, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất các loại hàng dệt,4.914,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1299,1299,Công ty TNHH King Chou Việt Nam,"Lô F-3-CN, F-4-CN, đường NA2, khu công nghiệp Mỹ Phước 2, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất các loại dây bện và lưới,2.136,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1300,1300,Công ty TNHH DSR Vina,"Lô D-5G-CN, khu công nghiệp Mỹ Phước 3, Thới Hòa, thị xã Bến Cát, tỉnh Bình Dương",Sản xuất các loại dây bện và lưới,2.692,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1301,1301,Công ty cổ phần Kinh Đô Bình Dương,"Số 26, đường số 8, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất các loại bánh từ bột,2.152,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
1302,1302,Công ty cổ phần Liwayway Việt Nam,"Số 14, đường số 5, khu công nghiệp VSIP I, thành phố Thuận An, tỉnh Bình Dương",Sản xuất các loại bánh từ bột,6.827,Tỉnh Bình Dương,ĐÔNG NAM BỘ,Ngành Công Thương,Phụ lục II
